term,GRS,Campus,College,Department,Program,program_no,Residency,Student_Type,Race,URM,Level,service_region,state,county,class,learner_age,cohort,retained
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Bourbon,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Boyd,Sophomore,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Bracken,Senior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Bullitt,Senior,14 <= Age <= 20,2,2
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Campbell,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Clark,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Clark,Sophomore,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Junior,14 <= Age <= 20,2,2
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Senior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Senior,21 <= Age <= 24,3,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Sophomore,14 <= Age <= 20,2,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Franklin,Senior,14 <= Age <= 20,2,2
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Franklin,Sophomore,14 <= Age <= 20,2,2
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Green,Junior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Hardin,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Harrison,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Harrison,Junior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Harrison,Sophomore,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Henry,Senior,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Henry,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Senior,14 <= Age <= 20,2,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Senior,21 <= Age <= 24,3,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Sophomore,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Jessamine,Senior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Kenton,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Kenton,Senior,21 <= Age <= 24,2,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Kenton,Sophomore,14 <= Age <= 20,2,2
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Letcher,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Marion,Senior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Mason,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Montgomery,Senior,21 <= Age <= 24,4,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Montgomery,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Oldham,Junior,14 <= Age <= 20,2,2
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Oldham,Senior,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Pike,Senior,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Scott,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Scott,Senior,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Scott,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Shelby,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Spencer,Senior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Spencer,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Todd,Senior,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Warren,Senior,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Wolfe,Junior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Bell,Junior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Boyle,Junior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Boyle,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Clay,Senior,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Clay,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Estill,Senior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Estill,Sophomore,14 <= Age <= 20,2,2
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Garrard,Senior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Harlan,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Laurel,Senior,21 <= Age <= 24,2,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Laurel,Sophomore,14 <= Age <= 20,3,2
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Junior,14 <= Age <= 20,4,4
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Junior,21 <= Age <= 24,3,2
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Senior,14 <= Age <= 20,2,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Senior,21 <= Age <= 24,7,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Senior,25 <= Age <= 79,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Sophomore,14 <= Age <= 20,5,2
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Perry,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Pulaski,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Pulaski,Junior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Pulaski,Senior,21 <= Age <= 24,5,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Rockcastle,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Rockcastle,Junior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Rockcastle,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Rockcastle,Senior,25 <= Age <= 79,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Whitley,Junior,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Floyd,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Scott,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Garrard,Freshman,14 <= Age <= 20,2,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Freshman,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Laurel,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Transfer,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Hopkins,Junior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Transfer,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Breathitt,Senior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Transfer,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Scott,Junior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Transfer,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Transfer,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,In state Resident,New First Time Transfer,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Whitley,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,International Resident,Continuing,Nonresident Alien,Non - URM,Undergraduate,Out-of-State,-Missing-,-Missing-,Junior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,International Resident,Continuing,Nonresident Alien,Non - URM,Undergraduate,Out-of-State,-Missing-,-Missing-,Senior,21 <= Age <= 24,4,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,International Resident,Continuing,Nonresident Alien,Non - URM,Undergraduate,Out-of-State,-Missing-,-Missing-,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"Black, Non-Hispanic Only",URM,Undergraduate,Out-of-State,Indiana,-Missing-,Junior,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"Black, Non-Hispanic Only",URM,Undergraduate,Out-of-State,Maryland,-Missing-,Freshman,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"Hispanic or Latino, regardless of race",URM,Undergraduate,Out-of-State,New Jersey,-Missing-,Sophomore,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"Hispanic or Latino, regardless of race",URM,Undergraduate,Out-of-State,Tennessee,-Missing-,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,California,-Missing-,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,Florida,-Missing-,Junior,14 <= Age <= 20,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,Georgia,-Missing-,Senior,25 <= Age <= 79,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,Indiana,-Missing-,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,Louisiana,-Missing-,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,New York,-Missing-,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,Ohio,-Missing-,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,Ohio,-Missing-,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,Ohio,-Missing-,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,Pennsylvania,-Missing-,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,1,Out of state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,Out-of-State,Tennessee,-Missing-,Senior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,2,In state Resident,Continuing,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Anderson,Junior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,2,In state Resident,Continuing,"Hispanic or Latino, regardless of race",URM,Undergraduate,KY:Non-Service Region,Kentucky,Jefferson,Sophomore,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,2,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Fayette,Senior,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,2,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Franklin,Freshman,14 <= Age <= 20,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,2,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Non-Service Region,Kentucky,Jessamine,Junior,21 <= Age <= 24,1,0
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,2,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Knox,Junior,21 <= Age <= 24,1,1
Fall 2024 to Fall 2025,Non - GRS,On-Campus Program,College of Business,School of Business,BBA in General Business,2,In state Resident,Continuing,"White, Non-Hispanic Only",Non - URM,Undergraduate,KY:Service Region,Kentucky,Madison,Senior,21 <= Age <= 24,1,0
